sym,dis
Burning skin sensation - precedes visible skin manifestation,Dermatitis herpetiformis related allergy
Symptoms of celiac disease,Dermatitis herpetiformis related allergy
Skin blisters,Dermatitis herpetiformis related allergy
Itchy skin bumps,Dermatitis herpetiformis related allergy
Skin rashes,Dermatitis herpetiformis related allergy
Skin swelling,Jewellery allergy
Localized skin itching,Jewellery allergy
Localized skin blistering,Jewellery allergy
Localized skin redness,Jewellery allergy
Itchy skin,Mercaptobenzothiazole allergy
Skin redness,Mercaptobenzothiazole allergy
Skin pain,Mercaptobenzothiazole allergy
Dermatitis,Mercaptobenzothiazole allergy
Skin swelling,Mercaptobenzothiazole allergy
Skin blisters,Mercaptobenzothiazole allergy
Skin irritation,Mercaptobenzothiazole allergy
Skin rashes,Mercaptobenzothiazole allergy
Sinus pain,Grass pollen allergy
Conjunctivitis,Grass pollen allergy
Cough,Grass pollen allergy
Nose rubbing,Grass pollen allergy
Breathing difficulties,Grass pollen allergy
Headaches,Grass pollen allergy
Runny nose,Grass pollen allergy
Itchy throat,Grass pollen allergy
Shortness of breath or wheezing,Grass pollen allergy
Dark circles under eyes,Grass pollen allergy
Sneezing,Grass pollen allergy
Itching,Grass pollen allergy
Red eyes,Grass pollen allergy
Itchy eyes,Grass pollen allergy
Asthma,Grass pollen allergy
Tearing eyes,Grass pollen allergy
Sinus pain,House dust allergy
Conjunctivitis,House dust allergy
Cough,House dust allergy
Nose rubbing,House dust allergy
Chest tightness,House dust allergy
Breathing difficulties,House dust allergy
Headaches,House dust allergy
Runny nose,House dust allergy
Itchy throat,House dust allergy
Shortness of breath or wheezing,House dust allergy
Dark circles under eyes,House dust allergy
Sneezing,House dust allergy
Itching,House dust allergy
Red eyes,House dust allergy
Itchy eyes,House dust allergy
Skin rashes,House dust allergy
Asthma,House dust allergy
Tearing eyes,House dust allergy
Hives,Semen allergy
Itchy skin,Semen allergy
Breathing difficulties,Semen allergy
Vaginal swelling,Semen allergy
Vaginal blistering,Semen allergy
Vaginal itching,Semen allergy
Vaginal redness,Semen allergy
Vaginal burning,Semen allergy
Vaginal pain,Semen allergy
Nausea,Pollen allergy
Rhinitis,Pollen allergy
Angioedema,Pollen allergy
Cough,Pollen allergy
Bronchospasm,Pollen allergy
Headaches,Pollen allergy
Diarrhoea,Pollen allergy
Urticaria,Pollen allergy
Abdominal pain,Pollen allergy
Pruritus,Pollen allergy
Syncope,Pollen allergy
Chest tightness,Food allergy related asthma
Breathing difficulties,Food allergy related asthma
Chest pain,Food allergy related asthma
Shortness of breath or wheezing,Food allergy related asthma
Chest pressure,Food allergy related asthma
Constricted airways,Food allergy related asthma
Shortness of breath,Food allergy related asthma
Rapid breathing,Food allergy related asthma
Coughing,Food allergy related asthma
Nausea,Local anaesthetic allergy
Anaphylaxis,Local anaesthetic allergy
Abnormal heart rhythm,Local anaesthetic allergy
Hives,Local anaesthetic allergy
Reduced blood pressure,Local anaesthetic allergy
Throat swelling,Local anaesthetic allergy
Muscle aching,Local anaesthetic allergy
Itchy skin,Local anaesthetic allergy
Skin redness,Local anaesthetic allergy
Swelling around lips,Local anaesthetic allergy
Tongue swelling,Local anaesthetic allergy
Death,Local anaesthetic allergy
Facial swelling,Local anaesthetic allergy
Breathing difficulties,Local anaesthetic allergy
Swollen lymph nodes,Local anaesthetic allergy
Shortness of breath or wheezing,Local anaesthetic allergy
Sun sensitive skin,Local anaesthetic allergy
Changes in urine color,Local anaesthetic allergy
Fever,Local anaesthetic allergy
Aching joints,Local anaesthetic allergy
Itchy eyes,Local anaesthetic allergy
Skin rashes,Local anaesthetic allergy
Nausea,Morphine allergy
Anaphylaxis,Morphine allergy
Abnormal heart rhythm,Morphine allergy
Hives,Morphine allergy
Reduced blood pressure,Morphine allergy
Throat swelling,Morphine allergy
Muscle aching,Morphine allergy
Itchy skin,Morphine allergy
Skin redness,Morphine allergy
Swelling around lips,Morphine allergy
Tongue swelling,Morphine allergy
Death,Morphine allergy
Facial swelling,Morphine allergy
Breathing difficulties,Morphine allergy
Swollen lymph nodes,Morphine allergy
Shortness of breath or wheezing,Morphine allergy
Sun sensitive skin,Morphine allergy
Changes in urine color,Morphine allergy
Fever,Morphine allergy
Aching joints,Morphine allergy
Itchy eyes,Morphine allergy
Skin rashes,Morphine allergy
Eczema,Bubble bath allergy
Skin pain,Bubble bath allergy
Skin blisters,Bubble bath allergy
Skin irritation,Bubble bath allergy
Skin bumps,Bubble bath allergy
Itching,Bubble bath allergy
Burning skin sensation,Bubble bath allergy
Skin rashes,Bubble bath allergy
Hives,Non-food allergy -- dust mites
Watery eyes,Non-food allergy -- dust mites
Sinus pain,Non-food allergy -- dust mites
Eczema,Non-food allergy -- dust mites
Cough,Non-food allergy -- dust mites
Breathing difficulties,Non-food allergy -- dust mites
Headaches,Non-food allergy -- dust mites
Runny nose,Non-food allergy -- dust mites
Shortness of breath or wheezing,Non-food allergy -- dust mites
Abdominal pain,Non-food allergy -- dust mites
Sneezing,Non-food allergy -- dust mites
Itching,Non-food allergy -- dust mites
Red eyes,Non-food allergy -- dust mites
Itchy eyes,Non-food allergy -- dust mites
Asthma,Non-food allergy -- dust mites
Sleep disturbances,Non-food allergy -- dust mites
Nausea,Rodent allergy
Sore throat,Rodent allergy
Watery eyes,Rodent allergy
Eczema,Rodent allergy
Itchy skin,Rodent allergy
Breathing difficulties,Rodent allergy
Sore eyes,Rodent allergy
Red skin,Rodent allergy
